iter	Passed	Remaining
139	5939	36484
140	5979	36430
141	6019	36368
142	6056	36296
143	6097	36248
144	6140	36206
145	6179	36146
146	6218	36082
147	6259	36033
148	6300	35984
149	6337	35915
150	6373	35833
151	6408	35752
152	6449	35706
153	6488	35645
154	6528	35591
155	6573	35564
156	6612	35507
157	6652	35453
158	6690	35387
159	6722	35294
160	6760	35227
161	6795	35154
162	6833	35092
163	6874	35044
164	6914	34990
165	6954	34942
166	6995	34894
167	7033	34830
168	7072	34774
169	7109	34713
170	7148	34653
171	7186	34596
172	7226	34546
173	7267	34501
174	7308	34454
175	7346	34394
176	7386	34345
177	7422	34277
178	7462	34227
179	7500	34166
180	7537	34107
181	7571	34029
182	7611	33981
183	7651	33932
184	7687	33868
185	7725	33811
186	7765	33762
187	7807	33721
188	7843	33655
189	7885	33618
190	7924	33564
191	7959	33496
192	8003	33464
193	8042	33412
194	8086	33384
195	8125	33330
196	8163	33276
197	8207	33244
198	8245	33188
199	8286	33144
200	8328	33104
201	8371	33071
202	8414	33036
203	8455	32991
204	8496	32951
205	8539	32914
206	8579	32867
207	8620	32826
208	8664	32792
209	8704	32747
210	8747	32710
211	8788	32666
212	8828	32619
213	8868	32573
214	8905	32514
215	8945	32469
216	8983	32416
217	9022	32363
218	9065	32328
219	9133	32382
220	9199	32426
221	9242	32388
222	9287	32360
223	9327	32314
224	9364	32254
225	9407	32220
226	9443	32157
227	9484	32113
228	9524	32067
229	9561	32010
230	9602	31967
231	9640	31913
232	9673	31844
233	9712	31793
234	9761	31777
235	9799	31724
236	9839	31677
237	9881	31637
238	9921	31589
239	9963	31551
240	10005	31510
241	10045	31463
242	10083	31411
243	10120	31355
244	10158	31306
245	10197	31256
246	10239	31216
247	10283	31183
248	10322	31132
249	10364	31092
250	10400	31034
251	10441	30993
252	10479	30942
253	10521	30902
254	10560	30853
255	10600	30808
256	10653	30799
257	10684	30728
258	10724	30683
259	10762	30630
260	10802	30586
261	10846	30553
262	10883	30497
263	10905	30402
264	10943	30351
265	10965	30257
266	11006	30216
267	11042	30160
268	11081	30113
269	11123	30075
270	11158	30016
271	11201	29980
272	11245	29945
273	11289	29912
274	11334	29881
275	11385	29866
276	11426	29825
277	11473	29796
278	11516	29761
279	11557	29719
280	11602	29686
281	11648	29657
282	11697	29637
283	11747	29617
284	11793	29587
285	11835	29547
286	11873	29497
287	11912	29451
288	11953	29406
289	12000	29380
290	12050	29359
291	12097	29331
292	12143	29301
293	12184	29259
294	12226	29218
295	12270	29182
296	12314	29147
297	12353	29101
298	12384	29035
299	12424	28991
300	12466	28950
301	12511	28916
302	12540	28848
303	12580	28802
304	12610	28735
305	12650	28690
306	12690	28647
307	12720	28578
308	12758	28531
309	12801	28493
310	12832	28430
311	12874	28388
312	12913	28343
313	12959	28312
314	12997	28263
315	13037	28221
316	13077	28176
317	13114	28126
318	13154	28081
319	13196	28043
320	13232	27990
321	13261	27923
322	13298	27873
323	13339	27831
324	13380	27789
325	13420	27745
326	13460	27703
327	13500	27659
328	13528	27590
329	13563	27537
330	13593	27474
331	13630	27424
332	13665	27372
333	13705	27329
334	13735	27265
335	13774	27220
336	13811	27172
337	13849	27125
338	13887	27079
339	13924	27030
340	13973	27005
341	14008	26951
342	14049	26910
343	14093	26875
344	14121	26810
345	14159	26764
346	14195	26713
347	14229	26660
348	14267	26614
349	14306	26569
350	14345	26524
351	14385	26482
352	14424	26437
353	14459	26385
354	14494	26335
355	14531	26286
356	14570	26242
357	14599	26180
358	14635	26132
359	14676	26092
360	14715	26046
361	14754	26003
362	14792	25958
363	14833	25918
364	14872	25873
365	14907	25824
366	14936	25762
367	14974	25717
368	15016	25678
369	15061	25645
370	15102	25604
371	15131	25545
372	15168	25497
373	15209	25457
374	15246	25411
375	15286	25369
376	15322	25321
377	15352	25261
378	15390	25216
379	15420	25159
380	15456	25111
381	15495	25068
382	15539	25032
383	15579	24991
384	15620	24952
385	15658	24906
386	15720	24900
387	15757	24853
388	15795	24810
389	15835	24768
390	15873	24724
391	15912	24680
392	15951	24638
393	15986	24588
394	16027	24548
395	16068	24508
396	16106	24464
397	16140	24412
398	16176	24365
399	16212	24318
